country,year,change
Greenland,2002,0
Greenland,2002,67.36
Greenland,2002,-219.73
Greenland,2002,-242.79
Greenland,2002,-207.56
Greenland,2002,-210.72
Greenland,2002,-193.61
Greenland,2003,-147.27
Greenland,2003,-156.73
Greenland,2003,-91.11
Greenland,2003,-45.43
Greenland,2003,-38.22
Greenland,2003,-215.04
Greenland,2003,-350.92
Greenland,2003,-393.05
Greenland,2003,-390.32
Greenland,2003,-393.16
Greenland,2003,-352.75
Greenland,2004,-376.85
Greenland,2004,-383.96
Greenland,2004,-361.37
Greenland,2004,-299.68
Greenland,2004,-315.99
Greenland,2004,-335.58
Greenland,2004,-432.9
Greenland,2004,-557.96
Greenland,2004,-598.28
Greenland,2004,-617.86
Greenland,2004,-575.39
Greenland,2004,-551.08
Greenland,2005,-565.55
Greenland,2005,-543.51
Greenland,2005,-497.31
Greenland,2005,-490.26
Greenland,2005,-452.66
Greenland,2005,-500.73
Greenland,2005,-630.03
Greenland,2005,-819.21
Greenland,2005,-885.81
Greenland,2005,-875.86
Greenland,2005,-873.97
Greenland,2005,-824.38
Greenland,2006,-847.16
Greenland,2006,-799.01
Greenland,2006,-777.21
Greenland,2006,-802.83
Greenland,2006,-791.92
Greenland,2006,-803.74
Greenland,2006,-889.76
Greenland,2006,-1016.69
Greenland,2006,-1077.39
Greenland,2006,-1064.33
Greenland,2006,-1092.02
Greenland,2006,-1100.83
Greenland,2007,-1067.75
Greenland,2007,-1025.73
Greenland,2007,-1035.79
Greenland,2007,-1021.01
Greenland,2007,-1009.11
Greenland,2007,-1029.18
Greenland,2007,-1159.4
Greenland,2007,-1356.28
Greenland,2007,-1418.89
Greenland,2007,-1445.48
Greenland,2007,-1422.46
Greenland,2007,-1362.58
Greenland,2008,-1323.4
Greenland,2008,-1342.23
Greenland,2008,-1286.54
Greenland,2008,-1306.34
Greenland,2008,-1320.23
Greenland,2008,-1323.29
Greenland,2008,-1471.46
Greenland,2008,-1631.94
Greenland,2008,-1696.88
Greenland,2008,-1685.22
Greenland,2008,-1609.54
Greenland,2008,-1538.42
Greenland,2009,-1519.06
Greenland,2009,-1564.83
Greenland,2009,-1564.61
Greenland,2009,-1544.46
Greenland,2009,-1526.97
Greenland,2009,-1535.04
Greenland,2009,-1644.76
Greenland,2009,-1854.3
Greenland,2009,-1907.63
Greenland,2009,-1880.79
Greenland,2009,-1865.61
Greenland,2009,-1841.35
Greenland,2010,-1843.34
Greenland,2010,-1824.76
Greenland,2010,-1812.99
Greenland,2010,-1834.85
Greenland,2010,-1802.46
Greenland,2010,-1909.66
Greenland,2010,-2085.89
Greenland,2010,-2279.75
Greenland,2010,-2377.78
Greenland,2010,-2342.03
Greenland,2010,-2360.28
Greenland,2010,-2342.16
Greenland,2011,-2320.99
Greenland,2011,-2305.18
Greenland,2011,-2300.2
Greenland,2011,-2321.03
Greenland,2011,-2511.1
Greenland,2011,-2705.17
Greenland,2011,-2761.48
Greenland,2011,-2785.22
Greenland,2011,-2784.61
Greenland,2012,-2724.13
Greenland,2012,-2734.11
Greenland,2012,-2715.61
Greenland,2012,-2668.98
Greenland,2012,-2660.26
Greenland,2012,-2687.85
Greenland,2012,-2919.26
Greenland,2012,-3229.83
Greenland,2012,-3331.6
Greenland,2012,-3265.5
Greenland,2012,-3249.92
Greenland,2013,-3247.7
Greenland,2013,-3238.28
Greenland,2013,-3235.48
Greenland,2013,-3199.4
Greenland,2013,-3182.04
Greenland,2013,-3293.79
Greenland,2013,-3357.41
Greenland,2013,-3357.09
Greenland,2013,-3346.03
Greenland,2014,-3330.83
Greenland,2014,-3277.08
Greenland,2014,-3265.7
Greenland,2014,-3266.2
Greenland,2014,-3304.76
Greenland,2014,-3588.66
Greenland,2014,-3625.93
Greenland,2014,-3610.43
Greenland,2014,-3605.96
Greenland,2015,-3521.19
Greenland,2015,-3526.16
Greenland,2015,-3481.12
Greenland,2015,-3472.05
Greenland,2015,-3469.94
Greenland,2015,-3655.34
Greenland,2015,-3791.52
Greenland,2015,-3826.58
Greenland,2015,-3769.68
Greenland,2016,-3715.2
Greenland,2016,-3737.06
Greenland,2016,-3735.75
Greenland,2016,-3703.66
Greenland,2016,-3699.96
Greenland,2016,-3873.29
Greenland,2016,-4123.67
Greenland,2016,-3999.74
Greenland,2016,-4067.39
Greenland,2017,-4014.72
Greenland,2017,-4005.26
Greenland,2017,-3971.53
Greenland,2017,-3965.31
Greenland,2017,-3996.01
Greenland,2018,-4044.73
Greenland,2018,-4068.52
Greenland,2018,-4208.21
Greenland,2018,-4174.1
Greenland,2018,-4185.13
Greenland,2019,-4189.73
Greenland,2019,-4215.57
Greenland,2019,-4236.37
Greenland,2019,-4220.73
Greenland,2019,-4202.47
Greenland,2019,-4258.24
Greenland,2019,-4460.52
Greenland,2019,-4689.86
Greenland,2019,-4782.31
Greenland,2019,-4766.75
Greenland,2019,-4724.37
Greenland,2019,-4728.73
Greenland,2020,-4766.34
Greenland,2020,-4720.7
Greenland,2020,-4755.45
Greenland,2020,-4745.64
Greenland,2020,-4718.49
Greenland,2020,-4755.85
Greenland,2020,-4909.8
Greenland,2020,-4991.28
Greenland,2020,-4996.08
Greenland,2020,-4928.75
Greenland,2020,-4922.26
Greenland,2020,-4899.46