year,sealevel
1940,-111.91406
1940,-117.48073
1940,-121.68073
1940,-111.18073
1941,-106.01406
1941,-103.41406
1941,-100.7474
1941,-101.48073
1942,-107.2474
1942,-108.3474
1942,-101.447395
1942,-97.04739
1943,-97.88073
1943,-98.51406
1943,-104.01406
1943,-107.98073
1944,-105.2474
1944,-102.814064
1944,-116.947395
1944,-112.88073
1945,-107.64739
1945,-107.01406
1945,-104.447395
1945,-108.447395
1946,-103.54739
1946,-98.68073
1946,-92.68073
1946,-101.01406
1947,-104.28073
1947,-101.7474
1947,-97.447395
1947,-86.8474
1948,-87.3474
1948,-92.98073
1948,-91.814064
1948,-90.8474
1949,-87.314064
1949,-92.54739
1949,-95.41406
1949,-93.68073
1950,-92.28073
1950,-92.2474
1950,-91.447395
1950,-87.61406
1951,-82.01406
1951,-74.01406
1951,-82.314064
1951,-83.947395
1952,-85.08073
1952,-86.98073
1952,-84.48073
1952,-79.61406
1953,-76.8474
1953,-78.28073
1953,-75.3474
1953,-82.214066
1954,-82.18073
1954,-81.2474
1954,-86.714066
1954,-80.814064
1955,-72.38073
1955,-79.61406
1955,-87.447395
1955,-81.7474
1956,-82.38073
1956,-82.38073
1956,-86.58073
1956,-90.01406
1957,-83.01406
1957,-70.11406
1957,-69.54739
1957,-72.8474
1958,-72.2474
1958,-73.314064
1958,-72.91406
1958,-68.814064
1959,-68.714066
1959,-73.11406
1959,-70.214066
1959,-69.91406
1960,-70.38073
1960,-66.48073
1960,-66.88073
1960,-67.58073
1961,-60.247395
1961,-56.247395
1961,-60.747395
1961,-65.64739
1962,-66.68073
1962,-67.61406
1962,-68.04739
1962,-63.414062
1963,-63.88073
1963,-65.51406
1963,-69.91406
1963,-69.01406
1964,-77.947395
1964,-81.947395
1964,-70.98073
1964,-73.11406
1965,-66.18073
1965,-67.04739
1965,-66.314064
1965,-60.747395
1966,-64.28073
1966,-70.08073
1966,-70.48073
1966,-71.68073
1967,-72.91406
1967,-73.8474
1967,-66.447395
1967,-63.947395
1968,-63.48073
1968,-75.48073
1968,-72.814064
1968,-60.01406
1969,-59.71406
1969,-60.314064
1969,-62.614063
1969,-60.347397
1970,-61.239754
1970,-66.58982
1970,-67.80814
1970,-64.95967
1971,-59.363434
1971,-57.29109
1971,-61.517647
1971,-60.111954
1972,-57.45813
1972,-48.01152
1972,-43.744003
1972,-48.077164
1973,-53.006943
1973,-57.22708
1973,-59.698135
1973,-55.990765
1974,-44.539375
1974,-41.292313
1974,-42.417545
1974,-44.02791
1975,-41.241356
1975,-40.25499
1975,-44.544395
1975,-46.368492
1976,-47.445915
1976,-43.38576
1976,-40.149914
1976,-41.390762
1977,-44.83496
1977,-49.700874
1977,-48.469437
1977,-45.605217
1978,-41.263718
1978,-41.87924
1978,-45.392
1978,-47.432053
1979,-53.21401
1979,-51.85539
1979,-48.350372
1979,-42.4946
1980,-39.625687
1980,-40.11137
1980,-41.426975
1980,-38.298462
1981,-30.473028
1981,-28.629116
1981,-28.660316
1981,-27.932323
1982,-30.790474
1982,-34.049545
1982,-33.78492
1982,-26.993576
1983,-24.037432
1983,-23.200077
1983,-27.123318
1983,-32.07189
1984,-31.579437
1984,-27.57409
1984,-25.042776
1984,-27.789917
1985,-33.6156
1985,-35.50844
1985,-35.006775
1985,-35.20057
1986,-34.12176
1986,-32.84495
1986,-33.036102
1986,-33.46858
1987,-29.50557
1987,-28.905087
1987,-31.398552
1987,-34.31563
1988,-27.977766
1988,-27.385836
1988,-26.959595
1988,-26.687881
1989,-29.964073
1989,-24.269043
1989,-23.321655
1989,-21.814396
1990,-23.400215
1990,-24.065578
1990,-18.384459
1990,-16.365501
1991,-18.155539
1991,-17.585604
1991,-15.895484
1991,-12.688824
1992,-11.176675
1992,-13.239227
1992,-16.478315
1992,-16.6333
1993,-18.138348
1993,-16.58892
1993,-22.540112
1993,-27.44191
1994,-21.28105
1994,-17.63631
1994,-17.081596
1994,-16.77565
1995,-13.530466
1995,-12.134506
1995,-13.289076
1995,-10.507252
1996,-7.0586605
1996,-12.199058
1996,-11.453928
1996,-7.3500957
1997,-6.436465
1997,-1.2111517
1997,-2.558639
1997,-2.010909
1998,-2.1894345
1998,-10.064292
1998,-10.490353
1998,-8.180469
1999,-5.997317
1999,-0.9086797
1999,-0.60470694
1999,-2.4553642
2000,-5.175822
2000,0.16506796
2000,0.3285905
2000,-3.5677967
2001,0.737351
2001,3.4225836
2001,4.032696
2001,3.3985643
2002,-1.0583739
2002,-1.5677798
2002,1.0863256
2002,3.369915
2003,3.2469401
2003,5.2881327
2003,10.772442
2003,11.865768
2004,7.560922
2004,7.7018003
2004,10.598084
2004,8.706165
2005,9.023991
2005,9.132556
2005,10.464698
2005,7.78977
2006,9.364914
2006,14.767066
2006,12.414188
2006,13.230967
2007,6.524319
2007,10.045722
2007,18.537277
2007,16.01026
2008,16.568615
2008,23.630562
2008,27.627108
2008,22.071127
2009,18.866402
2009,23.533848
2009,31.035536
2009,36.907307
2010,38.776936
2010,34.88547
2010,33.87824
2010,37.251026
2011,37.34795
2011,35.97776
2011,36.71847
2011,34.682507
2012,34.20025
2012,41.720886
2012,47.173904
2012,46.271473
2013,44.80457
2013,44.577915
2013,41.337986
2013,37.38712
2014,41.268642
2014,48.816914
2014,53.857372
2014,55.675884
2015,53.264576
2015,50.08209
2015,50.461704
2015,54.90935
2016,58.723286
2016,56.711594
2016,54.346962
2016,55.541004
2017,54.96168
2017,55.612373
2017,57.35599
2017,52.51952
2018,49.370857
2018,52.57545
2018,53.08512
2018,53.301662
2019,56.607487
2019,58.671906
2019,61.393715
2019,67.24985
2020,68.81163
2020,66.73996
2020,66.70432
2020,61.74304